year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,1,YV,Mesa Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",,,,,,,,,,,,,,,
2023,1,ZW,Air Wisconsin Airlines Corp,OKC,"Oklahoma City, OK: Will Rogers World",,,,,,,,,,,,,,,
2022,11,OO,SkyWest Airlines Inc.,HRL,"Harlingen/San Benito, TX: Valley International",,,,,,,,,,,,,,,
2022,10,DL,Delta Air Lines Network,OAK,"Oakland, CA: Metro Oakland International",,,,,,,,,,,,,,,
2022,10,OO,SkyWest Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",,,,,,,,,,,,,,,
2022,10,OO,SkyWest Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,10,YV,Mesa Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,10,YV,Mesa Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",,,,,,,,,,,,,,,
2022,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",,,,,,,,,,,,,,,
2022,8,C5,"Commutair Aka Champlain Enterprises, Inc.",ROC,"Rochester, NY: Greater Rochester International",,,,,,,,,,,,,,,
2022,8,G7,GoJet Airlines LLC d/b/a United Express,MSP,"Minneapolis, MN: Minneapolis-St Paul International",,,,,,,,,,,,,,,
2022,8,ZW,Air Wisconsin Airlines Corp,ALB,"Albany, NY: Albany International",,,,,,,,,,,,,,,
2022,8,ZW,Air Wisconsin Airlines Corp,SAV,"Savannah, GA: Savannah/Hilton Head International",,,,,,,,,,,,,,,
2022,7,YV,Mesa Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",,,,,,,,,,,,,,,
2022,6,G7,GoJet Airlines LLC d/b/a United Express,CMH,"Columbus, OH: John Glenn Columbus International",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,5,G7,GoJet Airlines LLC d/b/a United Express,ALB,"Albany, NY: Albany International",,,,,,,,,,,,,,,
2022,5,G7,GoJet Airlines LLC d/b/a United Express,BGR,"Bangor, ME: Bangor International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,5,ZW,Air Wisconsin Airlines Corp,CHS,"Charleston, SC: Charleston AFB/International",,,,,,,,,,,,,,,
2022,4,OO,SkyWest Airlines Inc.,LNK,"Lincoln, NE: Lincoln Airport",,,,,,,,,,,,,,,
2022,4,YV,Mesa Airlines Inc.,MLB,"Melbourne, FL: Melbourne International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4,YV,Mesa Airlines Inc.,SHV,"Shreveport, LA: Shreveport Regional",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4,YX,Republic Airline,GRB,"Green Bay, WI: Green Bay Austin Straubel International",,,,,,,,,,,,,,,
2022,2,C5,"Commutair Aka Champlain Enterprises, Inc.",CHS,"Charleston, SC: Charleston AFB/International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2,G7,GoJet Airlines LLC d/b/a United Express,LEX,"Lexington, KY: Blue Grass",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,C5,"Commutair Aka Champlain Enterprises, Inc.",COD,"Cody, WY: Yellowstone Regional",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,C5,"Commutair Aka Champlain Enterprises, Inc.",DSM,"Des Moines, IA: Des Moines International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,C5,"Commutair Aka Champlain Enterprises, Inc.",ORF,"Norfolk, VA: Norfolk International",,,,,,,,,,,,,,,
2022,1,G7,GoJet Airlines LLC d/b/a United Express,MDT,"Harrisburg, PA: Harrisburg International",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,MQ,Envoy Air,COU,"Columbia, MO: Columbia Regional",,,,,,,,,,,,,,,
2022,1,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",7.0,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,OO,SkyWest Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",,,,,,,,,,,,,,,
2022,1,PT,Piedmont Airlines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,YV,Mesa Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,YX,Republic Airline,GRB,"Green Bay, WI: Green Bay Austin Straubel International",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,ZW,Air Wisconsin Airlines Corp,DSM,"Des Moines, IA: Des Moines International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,12,MQ,Envoy Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",,,,,,,,,,,,,,,
2021,12,YV,Mesa Airlines Inc.,BRO,"Brownsville, TX: Brownsville South Padre Island International",,,,,,,,,,,,,,,
2021,12,ZW,Air Wisconsin Airlines Corp,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",,,,,,,,,,,,,,,
2021,10,OO,SkyWest Airlines Inc.,TYR,"Tyler, TX: Tyler Pounds Regional",,,,,,,,,,,,,,,
2021,10,ZW,Air Wisconsin Airlines Corp,CHS,"Charleston, SC: Charleston AFB/International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,10,9E,Endeavor Air Inc.,PVD,"Providence, RI: Theodore Francis Green State",,,,,,,,,,,,,,,
2021,10,F9,Frontier Airlines,LAX,"Los Angeles, CA: Los Angeles International",,,,,,,,,,,,,,,
2021,10,OO,SkyWest Airlines Inc.,ABI,"Abilene, TX: Abilene Regional",,,,,,,,,,,,,,,
2021,10,OO,SkyWest Airlines Inc.,CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,9,C5,"Commutair Aka Champlain Enterprises, Inc.",MYR,"Myrtle Beach, SC: Myrtle Beach International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,9,G7,GoJet Airlines LLC d/b/a United Express,FAR,"Fargo, ND: Hector International",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,9,OO,SkyWest Airlines Inc.,BGR,"Bangor, ME: Bangor International",,,,,,,,,,,,,,,
2021,9,OO,SkyWest Airlines Inc.,TYR,"Tyler, TX: Tyler Pounds Regional",1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,9,ZW,Air Wisconsin Airlines Corp,SAV,"Savannah, GA: Savannah/Hilton Head International",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,8,YV,Mesa Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",,,,,,,,,,,,,,,
2021,8,YX,Republic Airline,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",,,,,,,,,,,,,,,
2021,8,YX,Republic Airline,LNK,"Lincoln, NE: Lincoln Airport",,,,,,,,,,,,,,,
2021,8,YX,Republic Airline,MLI,"Moline, IL: Quad City International",,,,,,,,,,,,,,,
2021,8,ZW,Air Wisconsin Airlines Corp,ACK,"Nantucket, MA: Nantucket Memorial",,,,,,,,,,,,,,,
2021,8,G7,GoJet Airlines LLC d/b/a United Express,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",,,,,,,,,,,,,,,
2021,8,G7,GoJet Airlines LLC d/b/a United Express,TYS,"Knoxville, TN: McGhee Tyson",,,,,,,,,,,,,,,
2021,8,UA,United Air Lines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",,,,,,,,,,,,,,,
2021,7,G7,GoJet Airlines LLC d/b/a United Express,BGR,"Bangor, ME: Bangor International",,,,,,,,,,,,,,,
2021,7,G7,GoJet Airlines LLC d/b/a United Express,BNA,"Nashville, TN: Nashville International",,,,,,,,,,,,,,,
2021,7,G7,GoJet Airlines LLC d/b/a United Express,FAR,"Fargo, ND: Hector International",,,,,,,,,,,,,,,
2021,7,G7,GoJet Airlines LLC d/b/a United Express,LNK,"Lincoln, NE: Lincoln Airport",,,,,,,,,,,,,,,
2021,7,G7,GoJet Airlines LLC d/b/a United Express,PVD,"Providence, RI: Theodore Francis Green State",,,,,,,,,,,,,,,
2021,7,G7,GoJet Airlines LLC d/b/a United Express,XNA,"Fayetteville, AR: Northwest Arkansas Regional",,,,,,,,,,,,,,,
2021,7,OO,SkyWest Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",,,,,,,,,,,,,,,
2021,7,YX,Republic Airline,CHA,"Chattanooga, TN: Lovell Field",,,,,,,,,,,,,,,
2021,7,YX,Republic Airline,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",,,,,,,,,,,,,,,
2021,7,YX,Republic Airline,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",,,,,,,,,,,,,,,
2021,7,YX,Republic Airline,PIA,"Peoria, IL: General Downing - Peoria International",,,,,,,,,,,,,,,
2021,7,ZW,Air Wisconsin Airlines Corp,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",,,,,,,,,,,,,,,
2021,6,9E,Endeavor Air Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",,,,,,,,,,,,,,,
2021,6,PT,Piedmont Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",,,,,,,,,,,,,,,
2021,6,ZW,Air Wisconsin Airlines Corp,BDL,"Hartford, CT: Bradley International",,,,,,,,,,,,,,,
2021,4,AA,American Airlines Network,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",,,,,,,,,,,,,,,
2021,3,YV,Mesa Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",,,,,,,,,,,,,,,
2021,3,YX,Republic Airline,MDT,"Harrisburg, PA: Harrisburg International",,,,,,,,,,,,,,,
2021,3,YX,Republic Airline,TUL,"Tulsa, OK: Tulsa International",,,,,,,,,,,,,,,
2021,2,AA,American Airlines Network,LIH,"Lihue, HI: Lihue Airport",2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2,DL,Delta Air Lines Network,CAE,"Columbia, SC: Columbia Metropolitan",,,,,,,,,,,,,,,
2021,1,YV,Mesa Airlines Inc.,MOB,"Mobile, AL: Mobile Regional",,,,,,,,,,,,,,,
2020,12,OO,SkyWest Airlines Inc.,BDL,"Hartford, CT: Bradley International",,,,,,,,,,,,,,,
2020,12,OO,SkyWest Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",,,,,,,,,,,,,,,
2020,12,UA,United Air Lines Network,PNS,"Pensacola, FL: Pensacola International",,,,,,,,,,,,,,,
2020,12,UA,United Air Lines Network,STL,"St. Louis, MO: St Louis Lambert International",,,,,,,,,,,,,,,
2020,12,DL,Delta Air Lines Network,BIL,"Billings, MT: Billings Logan International",,,,,,,,,,,,,,,
2020,12,DL,Delta Air Lines Network,CHA,"Chattanooga, TN: Lovell Field",,,,,,,,,,,,,,,
2020,12,DL,Delta Air Lines Network,FAI,"Fairbanks, AK: Fairbanks International",,,,,,,,,,,,,,,
2020,11,C5,"Commutair Aka Champlain Enterprises, Inc.",GSP,"Greer, SC: Greenville-Spartanburg International",,,,,,,,,,,,,,,
2020,11,G7,GoJet Airlines LLC d/b/a United Express,LEX,"Lexington, KY: Blue Grass",,,,,,,,,,,,,,,
2020,11,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",,,,,,,,,,,,,,,
2020,11,OO,SkyWest Airlines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",,,,,,,,,,,,,,,
2020,11,OO,SkyWest Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",,,,,,,,,,,,,,,
2020,11,OO,SkyWest Airlines Inc.,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",4.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,11,OO,SkyWest Airlines Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",,,,,,,,,,,,,,,
2020,11,OO,SkyWest Airlines Inc.,ROC,"Rochester, NY: Greater Rochester International",,,,,,,,,,,,,,,
2020,11,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",,,,,,,,,,,,,,,
2020,11,YV,Mesa Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",,,,,,,,,,,,,,,
2020,11,YV,Mesa Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",,,,,,,,,,,,,,,
2020,11,YX,Republic Airline,LNK,"Lincoln, NE: Lincoln Airport",,,,,,,,,,,,,,,
2020,11,YX,Republic Airline,TVC,"Traverse City, MI: Cherry Capital",,,,,,,,,,,,,,,
2020,10,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",AVL,"Asheville, NC: Asheville Regional",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",BGR,"Bangor, ME: Bangor International",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",CHO,"Charlottesville, VA: Charlottesville Albemarle",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",CHS,"Charleston, SC: Charleston AFB/International",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",ILM,"Wilmington, NC: Wilmington International",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",MDT,"Harrisburg, PA: Harrisburg International",,,,,,,,,,,,,,,
2020,10,C5,"Commutair Aka Champlain Enterprises, Inc.",RIC,"Richmond, VA: Richmond International",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,AGS,"Augusta, GA: Augusta Regional at Bush Field",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,ATW,"Appleton, WI: Appleton International",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,AVL,"Asheville, NC: Asheville Regional",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,BUR,"Burbank, CA: Bob Hope",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,LEX,"Lexington, KY: Blue Grass",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,LGB,"Long Beach, CA: Long Beach Airport",,,,,,,,,,,,,,,
2020,10,DL,Delta Air Lines Network,OAK,"Oakland, CA: Metropolitan Oakland International",,,,,,,,,,,,,,,
2020,10,G7,GoJet Airlines LLC d/b/a United Express,GSP,"Greer, SC: Greenville-Spartanburg International",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,BOS,"Boston, MA: Logan International",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,CRW,"Charleston/Dunbar, WV: Yeager",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",,,,,,,,,,,,,,,
2020,10,OO,SkyWest Airlines Inc.,SPI,"Springfield, IL: Abraham Lincoln Capital",,,,,,,,,,,,,,,
